End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
Raw",Manual Corrections,Cumulative Corrections,Names Removed,Former Mormons
1830,6,0,0,6,6,0,0,57.6,50,39.5,1.0576,6.5,0.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,6,0,0,0,,,,,0,0
1830,280,40,0,274,274,32,8,57.6,50,39.5,1.0428,6.5,0.5,0,0,4,0,0,0,0,0,,,,,,16,1.86,,,,,,,,,,,,,,,,,,,96.8,9,271,9,7,0,,,,,1,1
1831,680,74,13,398,411,46,28,58.4,50,39.5,1.0428,6.59,0.5,0,0,6,0,0,0,0,0,,,,,,58,1.86,,,,,,,,,,,,,,,,,,,95.6,21,650,30,23,0,,,,,3,3
1832,2661,330,22,1974,1996,231,99,59.2,50,39.5,1.0428,6.68,0.5,0,0,33,0,0,0,0,0,,,,,,72,1.86,,,,,,,,,,,,,,,,,,,95.8,82,2550,111,80,0,,,,,12,14
1833,3140,227,64,455,519,53,174,60,50,39.5,1.0429,6.77,0.5,0,0,40,0,0,0,0,0,,,,,,41,1.86,,,,,,,,,,,,,,,,,,,93.6,97,2938,202,136,0,,,,,14,27
1834,4372,368,59,1198,1257,140,228,60.8,50,39.5,1.0429,6.86,0.5,2,0,40,22,18,22,0,18,,,,,,111,1.86,,,,,,,,,,,,,,,,,,,92.5,136,4044,328,174,0,,,,,20,45
1835,8835,922,69,4404,4473,515,407,61.6,50,39.5,1.0428,6.95,0.5,2,0,48,22,26,22,0,26,,,,,,84,1.86,,,,,,,,,,,,,,,,,,,93.4,274,8249,586,308,0,,,,,40,82
1836,13293,1198,119,4342,4461,508,690,62.4,50,39.5,1.0427,7.04,0.5,2,0,54,25,29,25,0,29,,,,,,80,1.86,,,,,,,,,,,,,,,,,,,92.7,412,12324,969,513,0,,,,,61,138
1837,16282,1263,154,2802,2956,328,935,63.2,50,39.5,1.0426,7.13,0.5,2,1,67,25,42,25,0,42,,,,,123,52,1.86,,,,,,,,,,,,,,,,,,,91.2,505,14856,1426,674,0,,,,,74,205
1838,17881,1251,223,1350,1573,158,1093,64,50,39.5,1.0426,7.22,0.5,2,1,91,26,65,26,0,65,,,,,63,16,1.86,,,,,,,,,,,,,,,,,,,89.3,554,15972,1909,763,0,,,,,81,275
1839,16460,1195,262,703,965,82,1113,64.8,50,39.5,1.0425,7.31,0.5,3,2,86,16,70,16,0,70,,,,,77,67,1.86,,,,,,,,,,,,,,,,,,,85.9,510,14136,2324,737,0,,,,,2500,2761
1840,16865,1152,517,510,1027,59,1093,65.6,50,39.5,1.0424,7.4,0.5,3,2,87,18,69,18,0,69,,,,,137,80,1.86,,,,,,,,,,,,,,,,,,,83.8,523,14134,2731,698,0,,,,,500,3122
1841,19856,1509,398,2651,3049,310,1199,65.3,50,39.5,1.0423,7.41,0.4969,2,2,103,19,84,19,0,84,,,,,167,100,1.86,,,,,,,,,,,,,,,,,,,83.8,616,16646,3210,769,0,,,,,90,3055
1842,23564,1797,564,3318,3882,388,1409,64.9,50,39.5,1.0423,7.42,0.4937,2,2,225,26,199,26,0,199,,,,,135,45,1.86,,,,,,,,,,,,,,,,,,,84,730,19784,3780,912,0,,,,,107,3009
1843,25980,1829,1138,1963,3101,229,1600,64.6,50,39.5,1.0422,7.43,0.4906,2,2,269,31,238,31,0,238,,,,,390,374,1.86,,,,,,,,,,,,,,,,,,,83.1,805,21584,4396,1029,0,,,,,118,2976
1844,26146,1973,1383,2544,3927,297,1676,64.3,50,39.5,1.0422,7.44,0.4875,2,3,272,33,239,33,0,239,,,,,893,586,1.86,,,,,,,,,,,,,,,,,,,80.9,811,21159,4987,1054,0,,,,,3000,5827
1845,30332,2236,1430,3665,5095,429,1807,64,50,39.5,1.0422,7.45,0.4844,1,4,311,34,277,34,0,277,,,,,623,84,1.86,,,,,,,,,,,,,,,,,,,81.3,940,24654,5678,1148,0,,,,,138,5673
1846,33993,2405,1426,3073,4499,359,2046,63.6,50,39.5,1.0423,7.46,0.4812,0,5,341,30,311,30,0,311,,,,,108,32,1.86,,,,,,,,,,,,,,,,,,,81,1054,27545,6448,1303,0,,,,,155,5544
1847,34694,2394,1384,1887,3271,220,2174,63.3,50,39.5,1.0423,7.47,0.4781,1,5,405,48,357,48,0,357,,,,,67,40,1.86,,,,,,,,,,,,,,,,,,,79.2,1076,27492,7202,1360,0,,,,,2000,7266
1848,40477,2965,1355,5102,6457,597,2368,63,50,39.5,1.0424,7.48,0.475,1,5,481,55,426,55,0,426,,,,,88,55,1.86,,,,,,,726,680,613,596,584,,,,,,,,80,1255,32380,8097,1503,0,,,,,184,7086
1849,48160,3584,1763,6921,8684,810,2774,62.6,50,39.5,1.0425,7.49,0.4718,1,5,590,75,515,75,0,515,,,,,105,58,1.86,,,,,,,869,818,772,705,688,,,,,,,,80.9,1493,38975,9185,1793,0,,,,,219,6950
1850,51839,3443,2093,2802,4895,328,3115,62.3,50,39.5,1.0426,7.5,0.4687,1,9,698,61,637,61,0,637,,,,,100,50,1.86,,,,,,,1072,906,856,809,743,,,,,,,,80.1,1607,41506,10333,2002,0,,,,,236,6838
1851,52165,3469,2112,2138,4250,250,3219,61.9,50,39.9,1.0431,7.489,0.4715,4,11,777,60,717,60,0,717,,,,,87,44,1.86,,,,,,,1322,1101,935,884,837,,,,,,,,78.1,1617,40732,11433,2031,0,,,,,3000,9496
1852,52640,3491,2252,2246,4498,263,3228,61.6,50,40.3,1.0437,7.478,0.4744,5,13,860,65,795,65,0,795,,,,,188,158,1.86,,,,,,,1537,1352,1131,965,914,,,,,,,,76.3,1632,40147,12493,1999,0,,,,,3000,12021
1853,64154,4811,2519,10515,13034,1231,3580,61.3,50,40.7,1.0442,7.467,0.4772,5,14,960,75,885,75,0,885,,,,,178,33,1.86,,,,,,,1798,1676,1492,1270,1105,,,,,,,,78.4,1989,50297,13857,2289,0,,,,,292,11711
1854,68429,4409,2755,3118,5873,365,4044,61,50,41.1,1.0448,7.456,0.4801,6,13,938,79,859,79,0,859,,,,,141,119,1.86,,,,,,,1844,1840,1718,1533,1312,,,,,,,,77.7,2121,53144,15285,2575,0,,,,,312,11437
1855,63974,4278,2775,2334,5109,273,4005,60.5,50,41.6,1.0454,7.445,0.4829,6,14,957,99,858,99,0,858,,,,,171,65,1.86,,,,,,,1847,1875,1871,1749,1564,,,,,,,,84.4,1983,53970,10004,2794,0,,,,,8000,18865
1856,63881,4053,3350,1757,5107,205,3848,60.2,50,42,1.046,7.434,0.4857,7,12,965,124,841,124,0,841,,,,,181,130,1.86,,,,,,,1976,1871,1898,1894,1772,,,,,,,,84.4,1980,53897,9984,2698,0,,,,,3000,20921
1857,55236,3886,3991,2720,6711,318,3568,59.9,50,42.4,1.0466,7.423,0.4886,6,12,819,77,742,77,0,742,,,,,203,88,1.86,,,,,,,2193,2012,1907,1935,1930,,,,,,,,98.5,1712,54380,856,2933,0,,,,,12000,31874
1858,55755,3525,3785,1858,5643,217,3308,59.6,50,42.8,1.0472,7.412,0.4914,4,9,742,81,661,81,0,661,,,,,82,0,1.86,,,,,,,2364,2217,2037,1931,1959,,,,,,,,95.4,1728,53214,2541,2647,0,,,,,2000,32280
1859,57038,3410,3790,570,4360,66,3344,59.3,42.1,43.2,1.0478,7.401,0.4943,4,9,733,98,635,98,0,635,,,,,17,18,1.86,,,,,,,2421,2371,2225,2044,1939,,,,,,,,92.6,1768,52836,4202,2199,0,,878,-871,-871,7,30928
1860,61082,3556,3785,611,4396,71,3485,59,45.1,43.6,1.0484,7.39,0.4971,4,8,721,110,611,110,0,611,,,,,106,96,1.86,,,,,,,2526,2429,2379,2233,2053,,,,,,,,90.3,1894,55176,5906,2405,0,,-2053,2061,1190,8,29541
1861,66211,3839,5080,662,5742,77,3762,59.1,41.9,43.8,1.0487,7.4439,0.4966,4,7,714,126,588,126,0,588,,,,,107,19,1.86,,,,,,,2735,2535,2438,2388,2242,,,,,,,,88.4,2053,58499,7712,2357,0,,-1744,1752,2942,8,28311
1862,68780,4076,4561,688,5249,80,3996,59.2,39.9,43.9,1.0489,7.4868,0.496,4,7,698,135,563,135,0,563,,,,,43,27,1.86,,,,,,,2831,2744,2544,2447,2397,,,,,,,,86.1,2132,59244,9536,2319,0,,361,-352,2590,9,27190
1863,71770,4244,4400,718,5118,84,4160,59.2,38.6,44.1,1.0491,7.5297,0.4955,4,7,667,143,524,143,0,524,,,,,72,50,1.86,,,,,,,3010,2841,2753,2554,2457,,,,,,,,84.1,2225,60377,11393,2281,0,,-153,162,2752,9,26149
1864,74348,4427,4155,743,4898,87,4340,59.4,36.9,44.2,1.0493,7.5726,0.4949,4,8,632,161,471,161,0,471,,,,,95,52,1.86,,,,,,,3354,3020,2850,2763,2564,,,,,,,,82.1,2305,61070,13278,2213,0,,107,-98,2654,9,25193
1865,76771,4577,3975,768,4743,89,4488,59.4,35.1,44.4,1.0495,7.6155,0.4944,4,8,600,164,436,164,0,436,,,,,114,71,1.86,,,,,,,3607,3364,3030,2861,2773,,,,,,,,80.2,2380,61579,15192,2127,0,,193,-183,2471,10,24318
1866,77884,4684,3592,779,4371,91,4593,59.4,34.1,44.6,1.0497,7.6584,0.4938,4,8,587,167,420,167,0,420,,,,,96,32,1.86,,,,,,,3683,3618,3374,3041,2871,,,,,,,,78.1,2414,60796,17088,2059,0,,1199,-1189,1282,10,23498
1867,81124,4824,3465,811,4276,94,4730,59.5,32.7,44.7,1.0498,7.7013,0.4933,4,8,582,175,407,175,0,407,,,,,153,133,1.86,,,,,,,3672,3694,3628,3385,3051,,,,,,,,76.5,2515,62080,19044,1989,0,,-953,963,2245,10,22739
1868,84622,5030,3612,846,4458,99,4931,59.5,31,44.9,1.0499,7.7442,0.4927,5,8,563,178,385,178,0,385,,,,,153,32,1.86,,,,,,,4003,3683,3705,3640,3396,,,,,,,,75.1,2623,63545,21077,1929,0,,-969,980,3225,11,22045
1869,88432,5260,3896,884,4780,103,5157,59.6,29.4,45,1.05,7.7871,0.4922,9,7,570,187,383,187,0,383,,,,,262,250,1.86,,,,,,,4326,4015,3695,3717,3651,,,,,,,,73.8,2741,65234,23198,1877,0,,-907,918,4143,11,21407
1870,90130,5426,4134,901,5035,105,5321,59.6,28.2,45.2,1.0501,7.83,0.4916,9,7,558,195,363,195,0,363,,,,,275,46,1.86,,,,,,,4254,4338,4027,3707,3729,,,,,,,,71.9,2794,64792,25338,1810,0,,1527,-1515,2628,12,20815
1871,95596,5692,4303,956,5259,111,5581,60.1,26.8,44.7,1.0501,7.828,0.4903,9,7,542,200,342,200,0,342,,,,,198,167,1.86,,,,,,,4077,4267,4351,4040,3720,,,,,,,,71.1,2963,67974,27622,1769,0,,-1976,1988,4616,12,20269
1872,98152,5975,4487,982,5469,114,5861,60.5,25.5,44.3,1.05,7.826,0.489,9,7,553,206,347,206,0,347,,,,,278,132,1.86,,,,,,,3785,4090,4280,4364,4053,,,,,,,,69.5,3043,68191,29961,1717,0,,1196,-1183,3433,13,19765
1873,101538,6209,4638,1015,5653,118,6091,61,24.6,43.8,1.0499,7.824,0.4878,9,7,561,213,348,213,0,348,,,,,155,35,1.86,,,,,,,3500,3799,4103,4293,4377,,,,,,,,68.1,3148,69166,32372,1673,0,,594,-581,2852,13,19291
1874,103916,6439,4746,1039,5785,121,6318,61.5,25.6,43.3,1.0498,7.822,0.4865,10,7,525,216,309,216,0,309,,,,,124,98,1.86,,,,,,,3523,3514,3812,4117,4307,,,,,,,,66.5,3221,69152,34764,1749,0,,1658,-1645,1207,13,18810
1875,107167,6658,4887,1072,5959,125,6533,61.9,25.5,42.9,1.0496,7.82,0.4852,10,7,524,222,302,222,0,302,,,,,274,197,1.86,,,,,,,3671,3538,3528,3827,4131,,,,,,,,65.3,3322,69967,37200,1757,0,,951,-937,270,14,18344
1876,111111,6951,5094,1111,6205,130,6821,62.5,25.7,42.4,1.0494,7.818,0.4839,10,8,537,230,307,230,0,307,,,,,379,211,1.86,,,,,,,3955,3686,3553,3543,3841,,,,,,,,64.3,3444,71423,39688,1804,0,,457,-443,-173,14,17886
1877,115065,7259,5325,1151,6476,134,7125,63,25.4,41.9,1.0492,7.816,0.4826,20,8,537,252,285,252,0,285,,,,,339,154,1.86,,,,,,,4196,3971,3702,3568,3558,,,,,,,,63.3,3567,72818,42247,1818,0,,704,-689,-862,15,17446
1878,125046,7782,5494,1250,6744,146,7636,63.6,24.2,41.4,1.0489,7.814,0.4814,21,9,526,254,272,254,0,272,,,,,285,152,1.86,,,,,,,4368,4213,3987,3718,3584,,,,,,,,63.9,3876,79945,45101,1857,0,,-5094,5110,4248,16,17039
1879,128386,8260,5761,1284,7045,150,8110,64,22.8,41,1.0486,7.812,0.4801,22,10,552,263,289,263,0,289,,,,,308,179,1.86,,,,,,,4556,4385,4230,4005,3735,,,,,,,,62.6,3980,80333,48053,1809,0,,1896,-1880,2368,16,16666
1880,133628,8619,6046,1336,7382,156,8463,64.6,22,40.5,1.0482,7.81,0.4788,23,10,559,272,287,272,0,287,,,,,370,219,1.86,,,,,,,4712,4574,4403,4248,4022,,,,,,,,61.7,4142,82490,51138,1778,0,,362,-345,2023,17,16316
1881,140733,8820,6282,1407,7689,164,8656,63.1,21.3,41.1,1.0481,7.758,0.4778,23,10,576,283,293,283,0,293,,,,,389,199,1.86,,,,,,,4826,4731,4592,4422,4266,,,,,,,,61.3,4363,86321,54412,1791,0,,-1207,1225,3248,18,15986
1882,145604,8975,6514,1456,7970,170,8805,61.5,20.5,41.8,1.048,7.706,0.4768,24,10,583,292,291,292,0,291,,,,,405,237,1.86,,,,,,,4972,4845,4750,4612,4441,,,,,,,,60.3,4514,87793,57811,1770,0,,1329,-1310,1938,19,15677
1883,151593,9108,6735,1516,8251,177,8931,60.1,20,42.4,1.0479,7.654,0.4758,27,11,609,317,292,317,0,292,,,,,451,248,1.86,,,,,,,5183,4992,4865,4770,4632,,,,,,,,59.5,4699,90239,61354,1768,0,,494,-475,1463,19,15382
1884,158242,9294,7031,1582,8613,185,9109,58.8,19.2,43,1.0477,7.602,0.4748,29,13,636,340,296,340,0,296,,,,,421,205,1.86,,,,,,,5419,5204,5013,4886,4791,,,,,,,,58.9,4906,93160,65082,1752,0,,212,-192,1271,20,15106
1885,164130,9428,7341,1641,8982,192,9236,57.3,18.4,43.7,1.0475,7.55,0.4738,29,12,659,348,311,348,0,311,,,,,409,235,1.86,,,,,,,5593,5441,5226,5035,4908,,,,,,,,58,5088,95158,68972,1720,104,,1270,-1249,22,21,14849
1886,166653,9457,7865,1667,9532,195,9262,56,18.1,44.3,1.0473,7.498,0.4728,30,12,657,342,315,342,0,315,,,,,413,209,1.86,,,,,,,5864,5615,5463,5248,5057,,,,,,,,56.3,5166,93763,72890,1685,132,,5192,-5170,-5148,22,14602
1887,173029,9509,8345,1730,10075,202,9307,54.8,17.5,44.9,1.0471,7.446,0.4718,31,12,686,360,326,360,0,326,,,,,457,282,1.86,,,,,,,6155,5887,5639,5486,5271,,,,,,,,55.5,5364,96051,76978,1650,351,,1698,-1676,-6823,22,14368
1888,180294,9680,8707,1803,10510,211,9469,53.6,16.8,45.5,1.0468,7.394,0.4708,32,13,709,373,336,373,0,336,,,,,487,242,1.86,,,,,,,6396,6179,5911,5662,5510,,,,,,,,54.9,5589,99020,81274,1629,314,,1302,-1279,-8102,23,14149
1889,183144,9718,8908,1831,10739,214,9504,52.3,16.5,46.2,1.0465,7.342,0.4698,32,12,727,388,339,388,0,339,,,,,457,249,1.86,,,,,,,6635,6421,6203,5935,5687,,,,,,,,53.3,5677,97534,85610,1598,361,,5930,-5906,-14008,24,13939
1890,188263,9709,9064,1883,10947,220,9489,51.1,16.1,46.8,1.0462,7.29,0.4688,32,12,725,395,330,395,0,330,,,,,495,283,1.86,,,,,,,6861,6660,6446,6228,5960,,,,,,,,52.2,5836,98195,90068,1561,625,,3642,-3618,-17626,24,13738
1891,195445,9974,9199,1954,11153,228,9746,50.8,15.6,46.9,1.046,7.229,0.4707,32,12,741,409,332,409,0,332,,,,,571,331,1.86,,,,,,,7162,6887,6686,6472,6254,,,,,,,,51.5,6059,100723,94722,1541,815,,1615,-1590,-19216,25,13548
1892,200961,10264,9386,2010,11396,235,10029,50.6,15.2,46.9,1.0458,7.168,0.4726,33,14,789,439,350,439,0,350,,,,,609,324,1.86,,,,,,,7478,7189,6914,6712,6498,,,,,,,,50.5,6230,101449,99512,1521,886,,3473,-3447,-22663,26,13368
1893,214534,10680,9524,2145,11669,251,10429,50.2,14.7,47,1.0456,7.107,0.4746,34,15,807,451,356,451,0,356,,,,,596,317,1.86,,,,,,,8003,7507,7217,6943,6741,,,,,,,,51.2,6651,109834,104700,1564,845,,-4313,4340,-18323,27,13198
1894,222369,11183,9555,2224,11779,260,10923,50,13.9,47,1.0453,7.046,0.4765,34,15,813,457,356,457,0,356,,,,,445,162,1.86,,,,,,,8491,8033,7536,7247,6972,,,,,,,,50.5,6893,112231,110138,1533,809,,1602,-1574,-19896,28,13042
1895,231116,11539,9610,2311,11921,270,11269,49.7,13.2,47.1,1.0451,6.985,0.4784,37,15,835,479,356,479,0,356,,,,,640,526,1.86,,,,,,,8858,8522,8064,7567,7277,,,,,,,,49.9,7165,115267,115849,1494,769,,911,-882,-20779,29,12898
1896,241427,11954,9783,2414,12197,282,11672,49.4,12.8,47.1,1.0449,6.924,0.4803,37,17,837,489,348,489,0,348,,,,,1183,746,1.86,,,,,,,9066,8890,8554,8096,7599,,,,,,,,49.5,7484,119577,121850,1497,814,,-425,456,-20323,31,12763
1897,255736,12504,9826,2557,12383,299,12205,49.1,12.6,47.2,1.0445,6.863,0.4822,37,18,867,493,374,493,0,374,,,,,1551,922,1.86,,,,,,,9231,9100,8924,8588,8130,,,,,,,,49.9,7928,127493,128243,1563,864,,-4353,4385,-15937,32,12634
1898,267251,13074,9821,2673,12494,313,12761,48.8,12.3,47.2,1.0441,6.802,0.4842,40,20,917,516,401,516,0,401,,,,,1734,943,1.86,,,,,,,9374,9267,9136,8960,8623,,,,,,,,49.5,8285,132300,134951,1592,876,,-1489,1523,-14414,34,12512
1899,271681,13387,10087,2717,12804,318,13069,48.5,12.3,47.3,1.0437,6.741,0.4861,40,20,918,506,412,506,0,412,,,,,1862,1059,1.86,,,,,,,9568,9410,9303,9172,8996,,,,,,,,47.8,8422,129968,141713,1584,934,,5856,-5821,-20235,35,12393
1900,283765,13718,10381,2838,13219,332,13386,48.2,11.8,47.3,1.0433,6.68,0.488,43,20,967,529,438,529,0,438,,,,,1725,796,1.86,,,,,,,9713,9606,9448,9340,9210,,,,,,,,47.5,8797,134927,148838,1557,994,,-1416,1452,-18783,36,12282
1901,292931,13548,10800,2929,13729,342,13206,45.8,11,49.1,1.0429,6.603,0.4865,50,21,1019,577,442,577,0,442,,,,,1226,522,1.86,,,,,,,9756,9751,9645,9487,9379,,,,,,,,46.6,9081,136649,156282,1478,1044,,2041,-2004,-20787,37,12183
1902,299105,13049,11304,2991,14295,350,12699,42.9,10.1,51.6,1.0425,6.526,0.4849,50,22,1076,595,481,595,0,481,,,,,1274,848,1.86,,,,,,,9820,9796,9791,9685,9526,,,,,,,,45.2,9272,135129,163976,1351,1071,,5699,-5661,-26448,38,12097
1903,304901,13404,11660,3049,14709,357,13047,43.2,10.5,50.55,1.042,6.449,0.4834,51,23,1089,612,477,612,0,477,,,,,1401,658,1.86,,,,,,,10000,9860,9837,9832,9725,,,,,,,,43.7,9452,133195,171706,1386,1185,,6342,-6303,-32751,39,12008
1904,324289,14567,12082,3243,15325,379,14188,45.1,11.4,47.65,1.0416,6.372,0.4819,55,21,1094,619,475,619,0,475,,,,,1262,699,1.86,,,,,,,10055,10043,9903,9880,9875,,,,,,,,44.6,10053,144487,179802,1600,1289,,-6952,6993,-25757,41,11912
1905,332048,14631,12633,3320,15953,388,14243,43.4,11,48.75,1.0412,6.295,0.4804,55,22,1141,627,514,627,0,514,,,,,1316,716,1.86,,,,,,,10061,10099,10087,9947,9924,,,,,,,,43.3,10293,143931,188117,1563,1330,,5301,-5258,-31015,43,11823
1906,345014,14858,13206,3450,16656,403,14455,42.7,10.9,48.85,1.0407,6.218,0.4788,55,22,1177,636,541,636,0,541,,,,,1610,1015,1.86,,,,,,,10340,10107,10145,10133,9993,,,,,,,,43,10695,148252,196762,1587,1337,,766,-722,-31737,44,11738
1907,357913,15532,13522,3579,17101,419,15113,43,11.4,47.75,1.0402,6.141,0.4773,55,22,1192,634,558,634,0,558,,,,,1809,930,1.86,,,,,,,10645,10387,10154,10193,10181,,,,,,,,42.6,11095,152299,205614,1707,1350,,1145,-1099,-32836,46,11650
1908,371472,15096,13857,3715,17572,435,14661,40.2,10.3,51.15,1.0402,6.064,0.4758,59,22,1261,666,595,666,0,595,,,,,1720,919,1.86,,,,,,,11069,10695,10437,10204,10242,,,,,,,,42.1,11516,156460,215012,1581,1548,,884,-837,-33673,47,11577
1909,377279,15079,13684,3773,17457,441,14638,39.1,10,52.15,1.0391,5.987,0.4742,60,21,1274,684,593,681,3,590,298713,78566,438,,1798,1014,1.86,,,,,,,11586,11119,10745,10487,10254,,,40,27.1,,,,40,22853,150912,226367,1498,1614,,8538,-8489,-42162,49,11510
1910,398478,15205,11917,3985,15902,466,14739,38,9,50.1,1.038,5.91,0.4727,62,21,1310,699,614,696,3,611,310834,87644,446,,2028,933,1.86,,,,,,,11956,11639,11172,10798,10540,,,39.2,26.9,,,,39.2,12481,156203,242275,1368,1648,,-8313,8363,-33800,50,11456
1911,407291,15786,11459,4073,15532,476,15310,38,8.6,52.65,1.038,5.9,0.4738,62,21,1338,706,641,697,9,632,322954,84337,460,,1632,822,1.86,,,,,,,12384,12010,11693,11226,10852,,100,38,25.9,,,,38,19922,154771,252520,1317,1666,,3736,-3684,-37483,52,11409
1912,417555,15955,11002,4176,15178,489,15466,37.5,8.95,53.7,1.0375,,0.4749,65,22,1363,716,665,698,18,647,335075,82480,474,,1480,769,1.86,,,,,,,12941,12439,12066,11748,11282,,100,36.9,26.2,,,,36.9,19408,154078,263477,1362,1730,,1822,-1768,-39252,54,11360
1913,431607,16214,10544,4316,14860,505,15709,37,9.3,52.65,1.037,,0.476,66,22,1399,749,675,724,27,650,347195,84412,470,,2000,858,1.87,,,,,1895,105,13522,12999,12497,12123,11806,70,100,37.2,25.7,,,0.1,37.2,12526,160558,271049,1469,1708,,-2369,2424,-36828,55,11309
1914,454718,14717,10395,4547,14942,532,14185,39.5,8.3,54.4,1.0395,,0.4771,68,21,1373,772,634,739,33,601,359316,95402,475,,1431,684,1.85,,648,36,,1316,115,13855,13582,13059,12557,12184,80,81,36.8,25.5,,10.3,0.2,36.8,11074,167336,287382,1354,1673,,-11196,11254,-25574,58,11273
1915,466238,15029,10247,4662,14909,545,14484,40.2,8.3,54.65,1.0402,,0.4782,72,21,1391,783,594,797,36,608,371436,94802,455,,1201,621,1.84,,571,50,,1091,110,14199,13917,13644,13121,12619,90,78.2,38.5,26.2,,8.8,0.2,38.5,5994,179502,286736,1471,1588,,330,-270,-25844,60,11239
1916,477321,15340,10098,4773,14871,558,14782,38.6,8.2,51.95,1.0386,,0.4792,73,22,1367,808,598,769,39,559,383557,93764,486,,1242,722,1.85,,656,66,,1128,114,14046,14263,13981,13708,13185,337,81.2,36,25.7,,9.8,0.6,36,26325,171836,305485,1393,1614,,781,-720,-26564,61,11207
1917,488038,15652,9950,4880,14830,571,15081,37,8.1,51.2,1.037,,0.4803,75,22,1453,875,620,833,42,578,395677,92361,463,,1157,543,1.83,,493,50,,1050,107,13566,14111,14328,14046,13772,703,84.4,37.8,25.6,,7,1.3,37.8,6349,184478,303560,1478,1534,,1101,-1038,-27602,63,11179
1918,495962,15963,9801,4960,14761,580,15383,37.3,11.69,39.4,1.0373,,0.4814,75,22,1452,893,604,848,45,559,407798,88164,468,,693,245,1.76,,222,23,,628,65,13942,13632,14177,14394,14112,1030,83.8,37.4,24.8,,3.1,1.8,37.4,17696,185490,310472,2151,1511,,3175,-3111,-30713,64,11112
1919,507961,17456,11669,5080,16749,594,16862,37.7,8.7,54.75,1.0377,,0.4825,79,23,1442,888,602,840,48,554,419918,88043,486,,1398,1211,1.92,,1097,114,,1267,131,15111,14010,13700,14245,14461,1528,89.1,36,25.4,,14.8,2.7,36,23523,182866,325095,1572,1515,,1663,-1598,-32311,65,11080
1920,525987,18948,13536,5260,18796,615,18333,38,9,54.1,1.038,,0.4836,83,24,1527,904,674,853,51,623,432039,93948,491,,2006,889,1.91,,806,83,,1817,189,15194,15181,14079,13770,14315,3272,93.3,35.6,25.9,,10.8,5.6,35.6,18100,187251,338736,1656,1495,,-2381,2448,-29863,67,11047
